"id","timeframe","computed_at","best_params","net_sharpe","net_return","max_drawdown","n_trades","win_rate","param_grid_size","lookback_days","min_trades","eligible_candidates","total_candidates","status","rejection_reason","max_dd_used","rejected_by_min_trades","rejected_by_max_dd","rejected_by_both","max_trades_seen","best_dd_seen"
"143","1m","2026-03-03 11:02:02.332114+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"142","30m","2026-03-03 10:10:36.93514+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"141","15m","2026-03-03 10:10:35.667236+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"140","5m","2026-03-03 10:10:33.140359+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"139","1m","2026-03-03 10:10:29.748191+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"138","30m","2026-03-03 08:52:23.11059+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"137","15m","2026-03-03 08:52:17.684953+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"136","5m","2026-03-03 08:52:06.947575+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"135","1m","2026-03-03 08:51:51.991991+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"134","30m","2026-03-03 07:45:25.920446+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"133","15m","2026-03-03 07:45:20.338742+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"132","5m","2026-03-03 07:45:09.718924+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"131","1m","2026-03-03 07:44:55.21026+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"130","30m","2026-03-03 06:44:50.88339+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"129","15m","2026-03-03 06:44:45.483787+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"128","5m","2026-03-03 06:44:35.012281+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"127","1m","2026-03-03 06:44:20.657328+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"126","30m","2026-03-03 05:44:01.727883+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"125","15m","2026-03-03 05:43:56.595594+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"124","5m","2026-03-03 05:43:46.57585+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"123","1m","2026-03-03 05:43:32.459755+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"122","30m","2026-03-03 04:15:37.442746+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"121","15m","2026-03-03 04:15:30.863392+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"120","5m","2026-03-03 04:15:20.275941+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"119","1m","2026-03-03 04:15:05.785886+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"118","30m","2026-03-03 02:58:04.481665+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"117","15m","2026-03-03 02:58:02.117991+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"116","5m","2026-03-03 02:57:57.120848+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"115","1m","2026-03-03 02:57:50.778817+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"114","30m","2026-03-03 02:47:38.310377+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"113","15m","2026-03-03 02:47:36.686153+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"112","5m","2026-03-03 02:47:33.964088+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"111","1m","2026-03-03 02:47:30.002438+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
